,R/H,TEMPERATURE,RESISTANCE,,,,,,,,
,55.6,24.61,1290.350,,,,,,,,
,55.6,24.62,1290.350,,,,,,,,
,55.6,24.61,1290.350,,,,,,,,
,55.6,24.62,1290.350,,,,,,,,
,55.6,24.61,1290.350,,,,,,,,
,55.6,24.61,1290.350,,,,,,,,
,55.6,24.61,1290.350,,,,,,,,
,55.5,24.61,1290.350,,,,,,,,
,55.5,24.61,1290.350,,,,,,,,
,55.5,24.61,1290.350,,,,,,,,
,55.5,24.61,1290.350,,,,,,,,
,55.5,24.61,1290.350,,,,,,,,
,55.5,24.61,1290.350,,,,,,,,
,55.5,24.6,1290.350,,,,,,,,
,55.5,24.6,1290.360,,,,,,,,
,55.5,24.59,1290.350,,,,,,,,
,55.5,24.59,1290.350,,,,,,,,
,55.5,24.59,1290.360,,,,,,,,
,55.5,24.59,1290.350,,,,,,,,
,55.5,24.59,1290.350,,,,,,,,
,55.5,24.59,1290.360,,,,,,,,
,55.5,24.59,1290.360,,,,,,,,
,55.5,24.59,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.59,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.5,24.58,1290.360,,,,,,,,
,55.4,24.58,1290.360,,,,,,,,
,55.4,24.57,1290.360,,,,,,,,
,55.4,24.58,1290.370,,,,,,,,
,55.4,24.58,1290.370,,,,,,,,
,55.4,24.58,1290.370,,,,,,,,
,55.4,24.58,1290.370,,,,,,,,
,55.4,24.57,1290.370,,,,,,,,
,55.4,24.57,1290.370,,,,,,,,
,55.4,24.57,1290.370,,,,,,,,
,55.4,24.56,1290.370,,,,,,,,
,55.4,24.56,1290.370,,,,,,,,
,55.4,24.57,1290.370,,,,,,,,
,55.4,24.57,1290.370,,,,,,,,
,55.3,24.56,1290.370,,,,,,,,
,55.4,24.57,1290.370,,,,,,,,
,55.3,24.57,1290.370,,,,,,,,
,55.3,24.56,1290.370,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.56,1290.380,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.56,1290.380,,,,,,,,
,55.3,24.56,1290.380,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.56,1290.380,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.57,1290.380,,,,,,,,
,55.3,24.56,1290.380,,,,,,,,
,55.3,24.56,1290.380,,,,,,,,
,55.2,24.56,1290.380,,,,,,,,
,55.2,24.56,1290.380,,,,,,,,
,55.3,24.56,1290.380,,,,,,,,
,55.2,24.56,1290.380,,,,,,,,
,55.2,24.56,1290.380,,,,,,,,
,55.2,24.55,1290.380,,,,,,,,
,55.2,24.55,1290.380,,,,,,,,
,55.2,24.55,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.55,1290.380,,,,,,,,
,55.2,24.55,1290.380,,,,,,,,
,55.2,24.55,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.55,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.54,1290.380,,,,,,,,
,55.2,24.53,1290.380,,,,,,,,
,55.2,24.53,1290.390,,,,,,,,
,55.2,24.53,1290.390,,,,,,,,
,55.2,24.53,1290.390,,,,,,,,
,55.2,24.53,1290.390,,,,,,,,
,55.2,24.53,1290.390,,,,,,,,
,55.2,24.54,1290.390,,,,,,,,
,55.1,24.53,1290.390,,,,,,,,
,55.1,24.53,1290.390,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.390,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.52,1290.400,,,,,,,,
,55.1,24.53,1290.400,,,,,,,,
,55.1,24.52,1290.400,,,,,,,,
,55.1,24.52,1290.400,,,,,,,,
,55.1,24.52,1290.400,,,,,,,,
,55.1,24.52,1290.400,,,,,,,,
,55.1,24.52,1290.410,,,,,,,,
,55.1,24.52,1290.410,,,,,,,,
,55.1,24.52,1290.410,,,,,,,,
,55.1,24.52,1290.410,,,,,,,,
,55,24.52,1290.410,,,,,,,,
,55,24.52,1290.410,,,,,,,,
,55,24.52,1290.410,,,,,,,,
,55,24.51,1290.410,,,,,,,,
,55,24.51,1290.410,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.52,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.5,1290.420,,,,,,,,
,55,24.5,1290.420,,,,,,,,
,55,24.5,1290.420,,,,,,,,
,55,24.5,1290.420,,,,,,,,
,55,24.5,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.51,1290.420,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.420,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,55,24.49,1290.430,,,,,,,,
,55,24.5,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,55,24.49,1290.430,,,,,,,,
,55,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,55,24.49,1290.430,,,,,,,,
,55,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.440,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.440,,,,,,,,
,54.9,24.49,1290.430,,,,,,,,
,54.9,24.49,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.430,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.48,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.8,24.46,1290.440,,,,,,,,
,54.8,24.46,1290.440,,,,,,,,
,54.8,24.46,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.8,24.47,1290.440,,,,,,,,
,54.8,24.46,1290.440,,,,,,,,
,54.8,24.47,1290.440,,,,,,,,
,54.8,24.46,1290.440,,,,,,,,
,54.8,24.46,1290.440,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.9,24.47,1290.440,,,,,,,,
,54.8,24.46,1290.440,,,,,,,,
,54.8,24.47,1290.440,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.9,24.46,1290.440,,,,,,,,
,54.8,24.45,1290.440,,,,,,,,
,54.9,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.9,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.46,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.44,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.44,1290.450,,,,,,,,
,54.8,24.45,1290.460,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.45,1290.450,,,,,,,,
,54.8,24.44,1290.450,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.450,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.43,1290.450,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.8,24.44,1290.460,,,,,,,,
,54.7,24.43,1290.460,,,,,,,,
,54.7,24.44,1290.460,,,,,,,,
,54.7,24.44,1290.450,,,,,,,,
