,R/H,TEMPERATURE,RESISTANCE,,,,
,56.9,25.66,1290.270,,,,
,56.9,25.65,1290.270,,,,
,56.9,25.64,1290.270,,,,
,56.9,25.62,1290.260,,,,
,56.8,25.61,1290.260,,,,
,56.8,25.59,1290.260,,,,
,56.8,25.59,1290.260,,,,
,56.8,25.57,1290.260,,,,
,56.7,25.56,1290.260,,,,
,56.7,25.55,1290.260,,,,
,56.7,25.54,1290.250,,,,
,56.7,25.53,1290.250,,,,
,56.7,25.53,1290.250,,,,
,56.6,25.52,1290.250,,,,
,56.6,25.51,1290.250,,,,
,56.6,25.49,1290.250,,,,
,56.6,25.49,1290.250,,,,
,56.6,25.48,1290.250,,,,
,56.5,25.47,1290.250,,,,
,56.5,25.46,1290.240,,,,
,56.5,25.45,1290.240,,,,
,56.5,25.44,1290.240,,,,
,56.5,25.43,1290.240,,,,
,56.5,25.42,1290.240,,,,
,56.4,25.42,1290.240,,,,
,56.4,25.41,1290.240,,,,
,56.4,25.4,1290.230,,,,
,56.4,25.39,1290.230,,,,
,56.4,25.37,1290.230,,,,
,56.4,25.36,1290.230,,,,
,56.4,25.36,1290.230,,,,
,56.4,25.35,1290.230,,,,
,56.4,25.34,1290.220,,,,
,56.4,25.33,1290.230,,,,
,56.4,25.33,1290.220,,,,
,56.4,25.32,1290.220,,,,
,56.4,25.32,1290.220,,,,
,56.4,25.31,1290.220,,,,
,56.4,25.3,1290.220,,,,
,56.4,25.3,1290.220,,,,
,56.4,25.29,1290.220,,,,
,56.4,25.28,1290.210,,,,
,56.4,25.27,1290.210,,,,
,56.5,25.27,1290.210,,,,
,56.5,25.27,1290.210,,,,
,56.4,25.27,1290.210,,,,
,56.4,25.26,1290.210,,,,
,56.4,25.26,1290.210,,,,
,56.4,25.25,1290.210,,,,
,56.4,25.25,1290.200,,,,
,56.4,25.24,1290.200,,,,
,56.4,25.23,1290.200,,,,
,56.4,25.22,1290.210,,,,
,56.4,25.22,1290.200,,,,
,56.4,25.22,1290.200,,,,
,56.4,25.22,1290.200,,,,
,56.3,25.21,1290.200,,,,
,56.4,25.2,1290.200,,,,
,56.3,25.19,1290.200,,,,
,56.4,25.19,1290.200,,,,
,56.4,25.18,1290.200,,,,
,56.3,25.18,1290.190,,,,
,56.3,25.17,1290.190,,,,
,56.3,25.16,1290.190,,,,
,56.3,25.16,1290.190,,,,
,56.3,25.15,1290.190,,,,
,56.3,25.15,1290.190,,,,
,56.3,25.15,1290.190,,,,
,56.3,25.14,1290.190,,,,
,56.2,25.13,1290.190,,,,
,56.3,25.13,1290.180,,,,
,56.3,25.12,1290.190,,,,
,56.3,25.12,1290.180,,,,
,56.3,25.12,1290.180,,,,
,56.2,25.11,1290.180,,,,
,56.2,25.1,1290.180,,,,
,56.2,25.09,1290.180,,,,
,56.3,25.08,1290.180,,,,
,56.2,25.08,1290.180,,,,
,56.2,25.09,1290.180,,,,
,56.2,25.08,1290.180,,,,
,56.2,25.08,1290.180,,,,
,56.2,25.08,1290.180,,,,
,56.2,25.07,1290.180,,,,
,56.2,25.06,1290.180,,,,
,56.2,25.06,1290.170,,,,
,56.1,25.06,1290.170,,,,
,56.1,25.05,1290.170,,,,
,56.1,25.05,1290.170,,,,
,56.1,25.04,1290.170,,,,
,56.1,25.03,1290.170,,,,
,56.1,25.03,1290.170,,,,
,56.1,25.02,1290.170,,,,
,56.1,25.01,1290.170,,,,
,56.2,25,1290.170,,,,
,56.2,25,1290.170,,,,
,56.2,25,1290.160,,,,
,56.2,24.99,1290.160,,,,
,56.1,24.99,1290.160,,,,
,56.2,24.99,1290.170,,,,
,56.2,24.98,1290.160,,,,
,56.1,24.98,1290.160,,,,
,56.1,24.98,1290.160,,,,
,56.1,24.97,1290.160,,,,
,56.1,24.97,1290.160,,,,
,56.1,24.96,1290.160,,,,
,56.1,24.96,1290.160,,,,
,56.1,24.96,1290.160,,,,
,56.1,24.96,1290.160,,,,
,56.1,24.95,1290.160,,,,
,56.1,24.95,1290.160,,,,
,56.1,24.94,1290.160,,,,
,56.1,24.94,1290.150,,,,
,56.1,24.93,1290.150,,,,
,56.1,24.93,1290.150,,,,
,56.1,24.93,1290.150,,,,
,56.1,24.93,1290.150,,,,
,56.1,24.93,1290.150,,,,
,56,24.92,1290.150,,,,
,56,24.92,1290.150,,,,
,56,24.92,1290.150,,,,
,56,24.91,1290.150,,,,
,56,24.91,1290.150,,,,
,56,24.9,1290.150,,,,
,56,24.89,1290.140,,,,
,56,24.88,1290.140,,,,
,56.1,24.88,1290.150,,,,
,56.1,24.88,1290.150,,,,
,56.1,24.87,1290.140,,,,
,56,24.87,1290.140,,,,
,56,24.86,1290.140,,,,
,56,24.85,1290.140,,,,
,56.1,24.85,1290.140,,,,
,56,24.85,1290.140,,,,
,56,24.85,1290.140,,,,
,56,24.84,1290.140,,,,
,56.1,24.84,1290.140,,,,
,56,24.84,1290.140,,,,
,56,24.84,1290.140,,,,
,56,24.84,1290.140,,,,
,56,24.83,1290.140,,,,
,56,24.83,1290.140,,,,
,56,24.83,1290.140,,,,
,56,24.83,1290.140,,,,
,56,24.82,1290.130,,,,
,56,24.81,1290.130,,,,
,56,24.8,1290.130,,,,
,56,24.81,1290.130,,,,
,56,24.79,1290.130,,,,
,56,24.8,1290.130,,,,
,56,24.79,1290.130,,,,
,56,24.79,1290.130,,,,
,56,24.79,1290.130,,,,
,56,24.79,1290.130,,,,
,56,24.78,1290.130,,,,
,56,24.78,1290.130,,,,
,55.9,24.78,1290.130,,,,
,56,24.77,1290.130,,,,
,56,24.76,1290.130,,,,
,56,24.76,1290.130,,,,
,56,24.75,1290.130,,,,
,56,24.75,1290.130,,,,
,56,24.74,1290.130,,,,
,56,24.74,1290.130,,,,
,56.1,24.75,1290.130,,,,
,56,24.74,1290.130,,,,
,56,24.74,1290.120,,,,
,56,24.74,1290.120,,,,
,56,24.74,1290.120,,,,
,56,24.74,1290.120,,,,
,56,24.74,1290.120,,,,
,56,24.73,1290.120,,,,
,56,24.74,1290.120,,,,
,56,24.73,1290.120,,,,
,56,24.72,1290.120,,,,
,56,24.72,1290.120,,,,
,56,24.72,1290.120,,,,
,56,24.72,1290.120,,,,
,56,24.72,1290.120,,,,
,56,24.72,1290.120,,,,
,56,24.71,1290.120,,,,
,56,24.71,1290.120,,,,
,56,24.71,1290.120,,,,
,56,24.71,1290.120,,,,
,56,24.71,1290.120,,,,
,56,24.71,1290.120,,,,
,56,24.7,1290.120,,,,
,56,24.69,1290.120,,,,
,56.1,24.69,1290.120,,,,
,56,24.69,1290.110,,,,
,56.1,24.68,1290.120,,,,
,56,24.68,1290.120,,,,
,56.1,24.68,1290.120,,,,
,56.1,24.67,1290.120,,,,
,56.1,24.67,1290.110,,,,
,56.1,24.67,1290.110,,,,
,56.1,24.67,1290.110,,,,
,56.1,24.67,1290.110,,,,
,56.1,24.66,1290.110,,,,
,56.1,24.66,1290.110,,,,
,56.1,24.66,1290.110,,,,
,56.1,24.66,1290.110,,,,
,56.1,24.66,1290.110,,,,
,56.1,24.65,1290.110,,,,
,56.1,24.65,1290.110,,,,
,56.1,24.65,1290.110,,,,
,56.1,24.65,1290.110,,,,
,56.1,24.65,1290.110,,,,
,56.1,24.64,1290.110,,,,
,56.1,24.64,1290.110,,,,
,56.1,24.64,1290.110,,,,
,56.1,24.64,1290.110,,,,
,56.1,24.65,1290.110,,,,
,56.1,24.64,1290.110,,,,
,56.1,24.63,1290.110,,,,
,56.1,24.63,1290.110,,,,
,56.1,24.63,1290.110,,,,
,56.1,24.63,1290.110,,,,
,56.1,24.63,1290.110,,,,
,56.2,24.63,1290.110,,,,
,56.1,24.63,1290.110,,,,
,56.1,24.62,1290.110,,,,
,56.1,24.62,1290.110,,,,
,56.2,24.62,1290.110,,,,
,56.2,24.61,1290.110,,,,
,56.1,24.61,1290.100,,,,
,56.2,24.6,1290.100,,,,
,56.2,24.6,1290.100,,,,
,56.2,24.59,1290.100,,,,
,56.2,24.59,1290.110,,,,
,56.2,24.59,1290.100,,,,
,56.2,24.59,1290.100,,,,
,56.2,24.58,1290.100,,,,
,56.2,24.59,1290.100,,,,
,56.2,24.59,1290.100,,,,
,56.2,24.58,1290.100,,,,
,56.2,24.58,1290.100,,,,
,56.2,24.58,1290.100,,,,
,56.2,24.59,1290.100,,,,
,56.2,24.58,1290.100,,,,
,56.2,24.58,1290.100,,,,
,56.2,24.57,1290.100,,,,
,56.2,24.57,1290.100,,,,
,56.2,24.57,1290.100,,,,
,56.2,24.57,1290.100,,,,
,56.2,24.57,1290.100,,,,
,56.1,24.57,1290.100,,,,
,56.1,24.57,1290.100,,,,
,56.1,24.57,1290.100,,,,
,56.1,24.57,1290.100,,,,
,56.1,24.57,1290.100,,,,
,56.1,24.57,1290.100,,,,
,56.1,24.56,1290.100,,,,
,56.1,24.57,1290.100,,,,
,56.1,24.56,1290.100,,,,
,56.1,24.56,1290.100,,,,
,56.1,24.56,1290.100,,,,
,56.1,24.55,1290.100,,,,
,56.1,24.56,1290.100,,,,
,56.1,24.55,1290.100,,,,
,56.1,24.55,1290.100,,,,
,56.1,24.55,1290.100,,,,
,56.1,24.54,1290.100,,,,
,56.1,24.54,1290.100,,,,
,56.1,24.53,1290.100,,,,
,56.1,24.53,1290.100,,,,
,56.1,24.53,1290.100,,,,
,56.1,24.53,1290.090,,,,
,56.1,24.54,1290.100,,,,
,56.1,24.53,1290.100,,,,
,56.1,24.53,1290.100,,,,
,56.1,24.53,1290.100,,,,
,56.1,24.53,1290.100,,,,
,56.1,24.53,1290.090,,,,
,56.1,24.53,1290.090,,,,
,56.1,24.52,1290.090,,,,
,56.1,24.52,1290.090,,,,
,56.2,24.52,1290.090,,,,
,56.1,24.53,1290.090,,,,
,56.1,24.53,1290.090,,,,
,56.1,24.53,1290.090,,,,
,56,24.53,1290.090,,,,
,56.1,24.52,1290.090,,,,
,56.1,24.52,1290.090,,,,
,56.1,24.52,1290.090,,,,
,56.1,24.51,1290.090,,,,
,56.1,24.51,1290.090,,,,
,56.1,24.51,1290.090,,,,
,56.1,24.5,1290.090,,,,
,56.1,24.5,1290.090,,,,
,56.1,24.5,1290.090,,,,
,56.1,24.5,1290.090,,,,
,56.1,24.5,1290.090,,,,
,56.1,24.5,1290.090,,,,
,56.1,24.5,1290.090,,,,
,56.1,24.49,1290.090,,,,
,56.1,24.49,1290.090,,,,
,56.1,24.49,1290.090,,,,
,56.1,24.49,1290.090,,,,
,56.1,24.49,1290.090,,,,
,56.1,24.49,1290.090,,,,
,56.1,24.48,1290.090,,,,
,56.1,24.48,1290.090,,,,
,56.1,24.49,1290.090,,,,
,56.1,24.48,1290.090,,,,
,56.1,24.48,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.48,1290.090,,,,
,56.1,24.48,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56,24.47,1290.090,,,,
,56.1,24.47,1290.090,,,,
,56,24.47,1290.090,,,,
,56.1,24.46,1290.090,,,,
,56.1,24.46,1290.090,,,,
,56.1,24.45,1290.090,,,,
,56.1,24.45,1290.090,,,,
,56.1,24.45,1290.090,,,,
,56.1,24.46,1290.090,,,,
,56.1,24.46,1290.090,,,,
,56,24.46,1290.080,,,,
,56,24.45,1290.080,,,,
,56.1,24.45,1290.080,,,,
,56.1,24.45,1290.080,,,,
,56.1,24.44,1290.080,,,,
,56.1,24.44,1290.080,,,,
,56.1,24.43,1290.080,,,,
,56.1,24.43,1290.080,,,,
,56.1,24.43,1290.080,,,,
,56.1,24.43,1290.080,,,,
,56.1,24.42,1290.080,,,,
,56.2,24.43,1290.080,,,,
,56.2,24.42,1290.080,,,,
,56.2,24.42,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.41,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.1,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.4,1290.080,,,,
,56.2,24.39,1290.080,,,,
,56.2,24.39,1290.080,,,,
,56.2,24.39,1290.080,,,,
,56.2,24.39,1290.080,,,,
,56.2,24.39,1290.080,,,,
,56.2,24.39,1290.080,,,,
,56.2,24.39,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.37,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.38,1290.070,,,,
,56.2,24.38,1290.070,,,,
,56.2,24.38,1290.080,,,,
,56.2,24.37,1290.070,,,,
,56.2,24.37,1290.070,,,,
,56.2,24.37,1290.070,,,,
,56.2,24.37,1290.070,,,,
,56.2,24.36,1290.080,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.37,1290.070,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.36,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.3,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.35,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.34,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.060,,,,
,56.2,24.33,1290.060,,,,
,56.2,24.33,1290.070,,,,
,56.2,24.33,1290.060,,,,
,56.1,24.33,1290.060,,,,
,56.1,24.33,1290.070,,,,
,56.1,24.33,1290.060,,,,
,56.1,24.33,1290.060,,,,
,56.2,24.33,1290.060,,,,
,56.2,24.32,1290.060,,,,
,56.2,24.32,1290.070,,,,
,56.1,24.32,1290.060,,,,
,56.2,24.32,1290.060,,,,
,56.1,24.32,1290.070,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.33,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.32,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.3,1290.060,,,,
,56.1,24.31,1290.060,,,,
,56.1,24.3,1290.060,,,,
,56.1,24.3,1290.060,,,,
,56.2,24.3,1290.060,,,,
,56.2,24.3,1290.060,,,,
,56.1,24.3,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.3,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.2,24.29,1290.060,,,,
,56.2,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.28,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.28,1290.060,,,,
,56.1,24.28,1290.060,,,,
,56.1,24.28,1290.060,,,,
,56.1,24.28,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56,24.29,1290.060,,,,
,56,24.28,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56.1,24.28,1290.060,,,,
,56.1,24.29,1290.060,,,,
,56,24.28,1290.060,,,,
,56,24.28,1290.060,,,,
,56,24.28,1290.060,,,,
,56.1,24.28,1290.060,,,,
,56,24.28,1290.060,,,,
,56,24.29,1290.060,,,,
,56,24.28,1290.060,,,,
,56,24.28,1290.060,,,,
,56,24.27,1290.060,,,,
,56,24.27,1290.060,,,,
,56,24.27,1290.060,,,,
,56,24.27,1290.060,,,,
,56,24.27,1290.060,,,,
,56,24.27,1290.050,,,,
,56,24.27,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.27,1290.050,,,,
,56,24.27,1290.060,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.060,,,,
,56,24.27,1290.060,,,,
,56,24.26,1290.060,,,,
,56,24.27,1290.060,,,,
,56,24.26,1290.060,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.27,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.060,,,,
,56,24.26,1290.050,,,,
,56,24.26,1290.050,,,,
,56,24.25,1290.060,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.24,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.25,1290.050,,,,
,56,24.24,1290.050,,,,
,56,24.24,1290.050,,,,
,56,24.24,1290.050,,,,
,56,24.25,1290.050,,,,
,55.9,24.25,1290.050,,,,
,55.9,24.25,1290.050,,,,
,55.9,24.24,1290.050,,,,
,55.9,24.24,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.24,1290.050,,,,
,56,24.24,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.23,1290.050,,,,
,56,24.24,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.23,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.21,1290.050,,,,
,56,24.21,1290.050,,,,
,55.9,24.22,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.2,1290.050,,,,
,55.9,24.2,1290.050,,,,
,56,24.2,1290.050,,,,
,56,24.21,1290.050,,,,
,55.9,24.2,1290.050,,,,
,56,24.2,1290.050,,,,
,56,24.21,1290.050,,,,
,56,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.21,1290.050,,,,
,55.9,24.2,1290.050,,,,
,55.9,24.2,1290.050,,,,
,55.9,24.2,1290.050,,,,
,55.9,24.19,1290.050,,,,
,56,24.19,1290.050,,,,
,56,24.2,1290.050,,,,
,55.9,24.2,1290.050,,,,
,55.9,24.2,1290.050,,,,
,55.9,24.19,1290.050,,,,
,56,24.2,1290.050,,,,
,55.9,24.19,1290.050,,,,
